id,gender,subCategory,baseColour,season,usage
41457,Men,Sandal,Blue,Summer,Casual
14515,Men,Topwear,Pink,Fall,Formal
34860,Men,Shoes,Black,Summer,Casual
2204,Men,Topwear,Black,Fall,Sports
18983,Men,Topwear,Navy Blue,Fall,Casual
5662,Men,Topwear,Orange,Summer,Casual
20251,Men,Topwear,Grey,Fall,Casual
44292,Men,Topwear,Green,Summer,Casual
41863,Men,Sandal,Black,Summer,Casual
50286,Men,Ties,Black,Summer,Formal
2127,Men,Topwear,Red,Spring,Casual
37784,Men,Topwear,Blue,Summer,Casual
49232,Men,Socks,Black,Summer,Casual
42038,Men,Shoes,Black,Summer,Sports
53800,Men,Topwear,Black,Summer,Casual
38530,Men,Shoes,Charcoal,Summer,Sports
56344,Men,Watches,Brown,Winter,Casual
27211,Men,Topwear,Purple,Summer,Casual
40098,Men,Topwear,Navy Blue,Summer,Casual
14604,Men,Socks,Green,Summer,Casual
5819,Men,Topwear,White,Summer,Sports
11939,Men,Sandal,Brown,Summer,Casual
39970,Men,Shoes,Red,Spring,Casual
19633,Men,Topwear,Grey,Summer,Casual
10574,Men,Topwear,Navy Blue,Fall,Casual
21569,Men,Shoes,Black,Summer,Casual
39940,Men,Shoes,Grey,Summer,Casual
28249,Men,Fragrance,Green,Spring,Casual
9783,Men,Topwear,White,Fall,Casual
30795,Men,Topwear,Yellow,Summer,Casual
22917,Men,Shoes,Blue,Fall,Casual
30673,Men,Eyewear,Gold,Winter,Casual
4062,Men,Topwear,Black,Summer,Casual
39361,Men,Watches,Black,Winter,Casual
26243,Men,Bottomwear,Grey Melange,Summer,Sports
25529,Men,Topwear,White,Summer,Casual
39262,Men,Shoes,Black,Winter,Formal
42177,Men,Shoes,Black,Summer,Sports
4018,Men,Shoes,Beige,Summer,Casual
7616,Men,Bags,Green,Summer,Casual
4109,Men,Sandal,Navy Blue,Summer,Casual
7696,Men,Topwear,Red,Fall,Casual
13178,Men,Shoes,White,Fall,Sports
14039,Men,Topwear,Green,Winter,Casual
11727,Men,Topwear,Black,Summer,Casual
43032,Men,Topwear,White,Summer,Casual
43341,Men,Shoes,Grey,Summer,Sports
24342,Men,Topwear,Black,Fall,Sports
14044,Men,Topwear,Blue,Fall,Casual
36945,Men,Shoes,Grey,Fall,Sports
4172,Men,Shoes,White,Summer,Sports
30213,Men,Topwear,Grey,Summer,Formal
13188,Men,Shoes,Black,Fall,Sports
40687,Men,Shoes,White,Summer,Casual
22731,Men,Shoes,Brown,Fall,Sports
38050,Men,Watches,Black,Winter,Casual
15697,Men,Topwear,White,Fall,Formal
44140,Men,Fragrance,Copper,Spring,Casual
47210,Men,Shoes,Brown,Summer,Formal
26288,Men,Topwear,Grey,Summer,Casual
57536,Men,Belts,Black,Summer,Casual
49745,Men,Ties,Red,Summer,Formal
29084,Men,Wallets,Black,Winter,Casual
12178,Men,Topwear,Blue,Fall,Casual
58299,Men,Socks,Black,Summer,Sports
7800,Men,Topwear,Green,Fall,Casual
11908,Men,Sandal,Brown,Summer,Formal
57488,Men,Shoes,Black,Fall,Formal
31447,Men,Bottomwear,Navy Blue,Summer,Sports
3478,Men,Topwear,White,Fall,Sports
33901,Men,Watches,White,Summer,Casual
22341,Men,Topwear,Green,Fall,Casual
17233,Men,Topwear,Navy Blue,Fall,Casual
30275,Men,Eyewear,Grey,Summer,Casual
14058,Men,Topwear,Black,Fall,Casual
44427,Men,Shoes,Black,Summer,Formal
11910,Men,Shoes,Black,Summer,Formal
2179,Men,Topwear,Grey,Spring,Casual
23651,Men,Topwear,Blue,Summer,Casual
28084,Men,Innerwear,Olive,Summer,Casual
4490,Men,Shoes,Silver,Summer,Sports
9266,Men,Topwear,Navy Blue,Fall,Casual
36254,Men,Loungewear and Nightwear,Navy Blue,Summer,Casual
17761,Men,Shoes,Brown,Winter,Formal
18630,Men,Topwear,Red,Fall,Casual
32011,Men,Socks,Black,Summer,Casual
34856,Men,Shoes,Black,Summer,Casual
51682,Men,Eyewear,Brown,Winter,Casual
33338,Men,Shoes,Black,Summer,Formal
18383,Men,Innerwear,White,Summer,Casual
32066,Men,Innerwear,Navy Blue,Summer,Casual
23869,Men,Topwear,Navy Blue,Summer,Casual
45865,Men,Shoes,Olive,Summer,Casual
9708,Men,Topwear,White,Fall,Casual
4752,Men,Topwear,Red,Summer,Sports
2335,Men,Topwear,Blue,Fall,Casual
20317,Men,Topwear,Purple,Fall,Casual
13987,Men,Shoes,Navy Blue,Fall,Casual
34345,Men,Topwear,Purple,Summer,Casual
6381,Men,Shoes,White,Summer,Sports
2220,Men,Sandal,Black,Fall,Sports
36605,Men,Topwear,Black,Summer,Casual
10487,Men,Bottomwear,Blue,Fall,Casual
38189,Men,Eyewear,Black,Winter,Casual
31620,Men,Topwear,Grey,Summer,Formal
8743,Men,Topwear,Green,Fall,Casual
31208,Men,Shoes,Purple,Summer,Sports
21121,Men,Topwear,Navy Blue,Fall,Casual
25323,Men,Watches,Black,Summer,Casual
17546,Men,Topwear,Pink,Fall,Formal
9697,Men,Shoes,Black,Fall,Formal
3227,Men,Shoes,Grey,Fall,Sports
59306,Men,Topwear,White,Winter,Casual
29224,Men,Shoes,Black,Summer,Sports
11889,Men,Shoes,Tan,Summer,Formal
19440,Men,Headwear,Red,Summer,Casual
6497,Men,Shoes,Brown,Winter,Casual
14027,Men,Topwear,Yellow,Fall,Sports
9732,Men,Topwear,White,Fall,Casual
13179,Men,Shoes,Black,Fall,Sports
28925,Men,Topwear,Blue,Summer,Casual
39828,Men,Sandal,Black,Summer,Casual
54069,Men,Flip Flops,Navy Blue,Summer,Casual
6161,Men,Topwear,Blue,Summer,Casual
46631,Men,Fragrance,Black,Spring,Casual
36916,Men,Wallets,Black,Winter,Casual
6287,Men,Topwear,Yellow,Summer,Casual
26022,Men,Fragrance,Black,Spring,Casual
29369,Men,Topwear,Lavender,Summer,Formal
12986,Men,Shoes,White,Summer,Casual
13324,Men,Topwear,Blue,Fall,Casual
48363,Men,Topwear,Red,Summer,Casual
8916,Men,Topwear,Blue,Fall,Sports
23055,Men,Topwear,Brown,Fall,Casual
16914,Men,Topwear,Blue,Fall,Casual
37094,Men,Topwear,Blue,Summer,Casual
23588,Men,Fragrance,Purple,Spring,Casual
32944,Men,Shoes,Black,Summer,Casual
37146,Men,Topwear,White,Summer,Casual
1887,Men,Topwear,Green,Winter,Casual
6177,Men,Topwear,Blue,Summer,Casual
13565,Men,Innerwear,White,Summer,Casual
4959,Men,Topwear,Green,Summer,Casual
4403,Men,Topwear,Black,Summer,Casual
35247,Men,Socks,Red,Summer,Casual
24136,Men,Topwear,Navy Blue,Fall,Casual
41241,Men,Belts,Black,Summer,Formal
48944,Men,Jewellery,Steel,Summer,Casual
13922,Men,Shoes,Grey,Fall,Sports
32477,Men,Topwear,White,Summer,Casual
58976,Men,Fragrance,White,Spring,Casual
9588,Men,Topwear,Navy Blue,Fall,Formal
17550,Men,Topwear,Red,Fall,Formal
15560,Men,Bottomwear,Blue,Fall,Casual
22589,Men,Bottomwear,Navy Blue,Fall,Sports
39942,Men,Shoes,Navy Blue,Summer,Casual
56230,Men,Loungewear and Nightwear,Black,Summer,Casual
13815,Men,Topwear,Grey,Fall,Casual
4015,Men,Topwear,Black,Summer,Casual
13074,Men,Shoes,Brown,Fall,Casual
26647,Men,Shoes,White,Summer,Casual
23276,Men,Watches,Black,Winter,Casual
35234,Men,Shoes,Brown,Fall,Formal
15318,Men,Topwear,White,Fall,Casual
24776,Men,Shoes,Bronze,Spring,Casual
31385,Men,Topwear,Grey,Summer,Casual
1539,Men,Topwear,Grey,Fall,Casual
51161,Men,Socks,Brown,Summer,Casual
4380,Men,Topwear,Red,Summer,Casual
12626,Men,Topwear,Navy Blue,Fall,Casual
47206,Men,Shoes,Black,Summer,Formal
28565,Men,Topwear,Blue,Summer,Casual
30055,Men,Watches,Black,Winter,Casual
23294,Men,Watches,White,Winter,Casual
9642,Men,Topwear,White,Fall,Formal
56342,Men,Watches,Silver,Winter,Casual
15936,Men,Belts,Brown,Fall,Casual
22815,Men,Shoes,Brown,Summer,Casual
44837,Men,Topwear,Red,Summer,Casual
11454,Men,Topwear,Green,Fall,Casual
11906,Men,Shoes,Brown,Summer,Casual
52058,Men,Topwear,Blue,Summer,Casual
36347,Men,Ties,Purple,Summer,Formal
28414,Men,Eyewear,Metallic,Winter,Casual
16416,Men,Topwear,Grey,Fall,Casual
14013,Men,Topwear,Black,Fall,Sports
5494,Men,Topwear,Grey,Summer,Casual
7619,Men,Headwear,Blue,Summer,Casual
29924,Men,Watches,Black,Winter,Casual
38298,Men,Wallets,Brown,Summer,Casual
40695,Men,Flip Flops,Brown,Summer,Casual
26856,Men,Fragrance,Silver,Spring,Casual
36343,Men,Ties,Maroon,Summer,Formal
24066,Men,Topwear,Blue,Fall,Casual
37723,Men,Topwear,Blue,Summer,Casual
4366,Men,Topwear,Black,Summer,Casual
16980,Men,Shoes,White,Fall,Sports
17828,Men,Shoes,White,Fall,Casual
40275,Men,Bottomwear,Beige,Summer,Casual
7878,Men,Bottomwear,Grey,Fall,Sports
16415,Men,Topwear,Maroon,Fall,Casual
51653,Men,Watches,Black,Winter,Casual
40526,Men,Watches,White,Winter,Casual
43422,Men,Bottomwear,Blue,Winter,Casual
30576,Men,Eyewear,Black,Winter,Casual
48967,Men,Jewellery,Steel,Summer,Casual
30798,Men,Topwear,Beige,Summer,Ethnic
9422,Men,Topwear,Black,Fall,Formal
22905,Men,Bottomwear,Charcoal,Summer,Formal
15122,Men,Bottomwear,Brown,Fall,Formal
8620,Men,Eyewear,Purple,Winter,Casual
17230,Men,Eyewear,Black,Winter,Casual
45637,Men,Innerwear,Grey Melange,Summer,Casual
5675,Men,Shoes,Black,Summer,Formal
3652,Men,Shoes,Black,Summer,Sports
28086,Men,Innerwear,Black,Summer,Casual
27967,Men,Innerwear,Green,Summer,Casual
21389,Men,Topwear,Blue,Fall,Casual
20798,Men,Flip Flops,Orange,Fall,Casual
54602,Men,Innerwear,Navy Blue,Summer,Casual
50498,Men,Innerwear,Maroon,Winter,Casual
14656,Men,Topwear,White,Fall,Casual
38197,Men,Eyewear,Brown,Winter,Casual
22578,Men,Topwear,Grey,Fall,Casual
8975,Men,Shoes,White,Fall,Sports
19325,Men,Topwear,Grey,Fall,Casual
45233,Men,Watches,Black,Winter,Casual
14314,Men,Topwear,White,Fall,Sports
17941,Men,Topwear,Red,Fall,Casual
34538,Men,Shoes,Brown,Winter,Formal
15561,Men,Bottomwear,Blue,Fall,Casual
36453,Men,Shoes,Black,Summer,Sports
13706,Men,Topwear,Red,Fall,Casual
58375,Men,Topwear,Blue,Summer,Casual
23965,Men,Topwear,Green,Fall,Casual
8189,Men,Topwear,Blue,Summer,Casual
30586,Men,Topwear,White,Summer,Casual
21338,Men,Eyewear,Gold,Winter,Casual
16802,Men,Topwear,Purple,Fall,Casual
58465,Men,Belts,Black,Summer,Casual
39657,Men,Shoes,White,Summer,Casual
25384,Men,Innerwear,Blue,Summer,Casual
23650,Men,Topwear,Navy Blue,Summer,Casual
22850,Men,Shoes,Brown,Summer,Casual
53312,Men,Topwear,Blue,Summer,Casual
46106,Men,Flip Flops,Navy Blue,Summer,Casual
36899,Men,Watches,Brown,Winter,Casual
24871,Men,Socks,Black,Summer,Casual
9809,Men,Topwear,White,Fall,Formal
12710,Men,Shoes,Silver,Fall,Sports
17393,Men,Socks,Black,Summer,Casual
6626,Men,Shoes,Blue,Summer,Sports
31992,Men,Socks,Brown,Summer,Formal
35407,Men,Shoes,Black,Summer,Formal
19961,Men,Topwear,Blue,Fall,Casual
38644,Men,Topwear,Black,Summer,Casual
14644,Men,Topwear,Black,Fall,Casual
8740,Men,Topwear,Navy Blue,Fall,Casual
21806,Men,Wallets,Brown,Winter,Casual
15244,Men,Shoes,Red,Fall,Casual
14783,Men,Topwear,Purple,Fall,Formal
44900,Men,Topwear,White,Summer,Casual
58202,Men,Belts,Black,Summer,Formal
36455,Men,Shoes,White,Summer,Sports
36243,Men,Topwear,Green,Summer,Casual
7288,Men,Topwear,Grey,Fall,Casual
44895,Men,Topwear,Green,Summer,Casual
39742,Men,Shoes,Red,Summer,Casual
39991,Men,Shoes,Brown,Summer,Casual
17714,Men,Topwear,Red,Fall,Casual
31829,Men,Watches,White,Winter,Casual
27810,Men,Belts,Black,Summer,Formal
19408,Men,Topwear,Off White,Fall,Casual
33843,Men,Shoes,Black,Summer,Casual
48196,Men,Eyewear,Black,Winter,Casual
49419,Men,Shoes,Rust,Summer,Casual
13720,Men,Mufflers,Maroon,Summer,Casual
34078,Men,Shoes,Black,Fall,Casual
15057,Men,Shoes,Black,Summer,Formal
23889,Men,Shoes,White,Summer,Sports
13325,Men,Topwear,Brown,Fall,Casual
11280,Men,Bottomwear,Black,Fall,Casual
26803,Men,Topwear,Maroon,Summer,Formal
45034,Men,Watches,Black,Winter,Casual
9814,Men,Shoes,Black,Fall,Formal
23876,Men,Topwear,Blue,Fall,Casual
13814,Men,Topwear,Blue,Fall,Casual
12854,Men,Shoes,Black,Spring,Formal
28415,Men,Eyewear,Black,Winter,Casual
7572,Men,Topwear,Orange,Summer,Sports
50671,Men,Loungewear and Nightwear,Charcoal,Fall,Sports
13741,Men,Topwear,Green,Fall,Formal
18851,Men,Topwear,Red,Fall,Casual
44763,Men,Shoes,Grey,Summer,Casual
16624,Men,Bottomwear,Grey,Fall,Casual
31277,Men,Topwear,White,Summer,Casual
47163,Men,Belts,Black,Summer,Casual
6128,Men,Topwear,Black,Summer,Casual
18680,Men,Innerwear,Grey,Summer,Casual
23964,Men,Topwear,Purple,Fall,Casual
16470,Men,Topwear,Blue,Fall,Casual
25024,Men,Bottomwear,Navy Blue,Fall,Sports
24822,Men,Shoes,Blue,Winter,Casual
56819,Men,Topwear,Blue,Summer,Casual
7012,Men,Topwear,Green,Summer,Casual
8063,Men,Shoes,Black,Winter,Formal
14660,Men,Topwear,White,Fall,Casual
14662,Men,Topwear,Blue,Fall,Casual
18609,Men,Topwear,Red,Fall,Casual
39496,Men,Topwear,Black,Summer,Casual
47512,Men,Innerwear,Khaki,Summer,Casual
36022,Men,Belts,Black,Fall,Formal
30316,Men,Topwear,Pink,Summer,Casual
12222,Men,Bottomwear,Olive,Summer,Formal
28125,Men,Innerwear,Black,Summer,Casual
58954,Men,Fragrance,Yellow,Spring,Casual
25065,Men,Accessories,Brown,Winter,Formal
51876,Men,Sandal,Black,Summer,Casual
3982,Men,Topwear,Grey,Summer,Casual
19979,Men,Topwear,Pink,Fall,Casual
9545,Men,Topwear,Grey,Summer,Sports
13183,Men,Shoes,White,Fall,Sports
18359,Men,Socks,White,Fall,Casual
44770,Men,Shoes,Black,Summer,Casual
23462,Men,Scarves,Black,Winter,Casual
46542,Men,Watches,Black,Winter,Smart Casual
33322,Men,Topwear,Navy Blue,Summer,Casual
39805,Men,Bottomwear,Black,Spring,Formal
7955,Men,Topwear,Grey,Fall,Sports
11923,Men,Shoes,Brown,Summer,Formal
10122,Men,Shoes,White,Fall,Sports
9011,Men,Shoes,White,Summer,Sports
29457,Men,Watches,Black,Winter,Smart Casual
17168,Men,Topwear,Mustard,Fall,Casual
4488,Men,Shoes,White,Summer,Sports
9212,Men,Sandal,Black,Fall,Casual
16457,Men,Topwear,Red,Fall,Casual
31365,Men,Topwear,Grey,Summer,Casual
16373,Men,Bottomwear,Charcoal,Fall,Formal
14090,Men,Topwear,Blue,Fall,Casual
58351,Men,Topwear,Blue,Summer,Casual
30759,Men,Topwear,Black,Summer,Ethnic
51379,Men,Bottomwear,Grey,Summer,Casual
34140,Men,Wallets,Brown,Summer,Casual
22696,Men,Flip Flops,Orange,Summer,Casual
44753,Men,Shoes,Black,Summer,Casual
14347,Men,Shoes,Black,Fall,Sports
54062,Men,Fragrance,Purple,Spring,Casual
48007,Men,Watches,Black,Winter,Casual
44612,Men,Shoes,Blue,Spring,Sports
22818,Men,Shoes,Black,Winter,Casual
48462,Men,Bottomwear,Blue,Summer,Casual
9447,Men,Topwear,White,Fall,Formal
2332,Men,Topwear,White,Fall,Casual
19973,Men,Headwear,Grey,Fall,Casual
36164,Men,Topwear,Grey,Summer,Casual
30069,Men,Watches,Black,Winter,Casual
57930,Men,Topwear,White,Summer,Casual
46318,Men,Watches,Brown,Winter,Casual
3349,Men,Topwear,Navy Blue,Summer,Casual
50296,Men,Ties,Black,Summer,Formal
12869,Men,Sandal,Black,Fall,Casual
16055,Men,Bottomwear,Blue,Fall,Casual
58809,Men,Topwear,White,Fall,Casual
25430,Men,Belts,Beige,Summer,Casual
12797,Men,Topwear,Black,Fall,Sports
52816,Men,Watches,Black,Winter,Casual
23545,Men,Fragrance,Red,Spring,Casual
57539,Men,Belts,Olive,Summer,Casual
22181,Men,Topwear,Blue,Summer,Casual
45760,Men,Fragrance,Red,Spring,Casual
3926,Men,Topwear,Blue,Summer,Casual
14497,Men,Shoes,Green,Fall,Casual
49061,Men,Shoes,Brown,Summer,Casual
22487,Men,Sandal,Black,Fall,Casual
7950,Men,Topwear,White,Fall,Sports
46540,Men,Watches,Black,Winter,Smart Casual
18222,Men,Socks,White,Fall,Casual
44135,Men,Fragrance,Silver,Spring,Casual
8734,Men,Topwear,Purple,Fall,Casual
3718,Men,Topwear,Grey,Summer,Casual
23060,Men,Topwear,Green,Fall,Casual
59215,Men,Watches,Black,Winter,Casual
4767,Men,Topwear,White,Summer,Sports
39063,Men,Topwear,Blue,Summer,Casual
54609,Men,Innerwear,Navy Blue,Summer,Casual
50929,Men,Innerwear,Grey,Summer,Casual
14534,Men,Topwear,Black,Fall,Casual
13296,Men,Topwear,White,Fall,Casual
9037,Men,Shoes,Black,Winter,Formal
16522,Men,Bottomwear,Blue,Fall,Casual
34803,Men,Belts,Green,Summer,Casual
13796,Men,Topwear,Grey,Fall,Casual
9653,Men,Topwear,Purple,Fall,Casual
39307,Men,Shoes,Black,Winter,Casual
9196,Men,Shoes,Silver,Fall,Sports
43037,Men,Topwear,Green,Summer,Casual
11323,Men,Bottomwear,Blue,Fall,Casual
57027,Men,Innerwear,White,Summer,Casual
7293,Men,Topwear,Green,Fall,Casual
11653,Men,Watches,White,Winter,Casual
19236,Men,Scarves,Off White,Fall,Casual
12919,Men,Shoes,White,Fall,Casual
21103,Men,Shoes,Brown,Spring,Formal
6066,Men,Topwear,Black,Summer,Casual
6394,Men,Sandal,Grey,Summer,Casual
13399,Men,Topwear,Red,Summer,Casual
48557,Men,Belts,Black,Spring,Casual
56725,Men,Topwear,Red,Summer,Casual
29020,Men,Bottomwear,Grey,Summer,Sports
40232,Men,Belts,Black,Summer,Casual
27976,Men,Innerwear,Charcoal,Winter,Casual
30614,Men,Topwear,Black,Summer,Sports
6982,Men,Bottomwear,Cream,Summer,Casual
39974,Men,Shoes,Brown,Winter,Casual
5542,Men,Shoes,Black,Summer,Sports
11956,Men,Shoes,Brown,Summer,Casual
50304,Men,Ties,Red,Summer,Formal
21123,Men,Topwear,Purple,Fall,Casual
4985,Men,Shoes,White,Summer,Sports
31551,Men,Shoes,Brown,Summer,Casual
9638,Men,Topwear,Black,Fall,Casual
2786,Men,Topwear,White,Summer,Casual
12945,Men,Topwear,Brown,Fall,Casual
51552,Men,Watches,White,Winter,Casual
14344,Men,Shoes,White,Fall,Sports
30738,Men,Topwear,Navy Blue,Summer,Ethnic
27959,Men,Innerwear,White,Summer,Casual
41078,Men,Sandal,Black,Summer,Casual
9352,Men,Socks,White,Fall,Casual
4248,Men,Topwear,Grey,Summer,Casual
54608,Men,Innerwear,Blue,Summer,Casual
41238,Men,Belts,Brown,Summer,Formal
7859,Men,Topwear,Purple,Fall,Casual
13396,Men,Topwear,Red,Summer,Casual
15321,Men,Topwear,Black,Fall,Casual
4454,Men,Shoes,Brown,Summer,Casual
46553,Men,Watches,Orange,Winter,Casual
24132,Men,Topwear,Off White,Fall,Casual
8591,Men,Topwear,Purple,Fall,Casual
25757,Men,Topwear,Red,Summer,Formal
36458,Men,Shoes,Black,Spring,Sports
3451,Men,Topwear,White,Fall,Sports
10468,Men,Topwear,Blue,Fall,Casual
16519,Men,Bottomwear,Black,Fall,Casual
41261,Men,Wallets,Brown,Summer,Casual
26650,Men,Shoes,Blue,Summer,Sports
50690,Men,Innerwear,Black,Summer,Casual
18684,Men,Innerwear,Brown,Summer,Casual
14708,Men,Topwear,White,Fall,Formal
14301,Men,Topwear,Grey,Fall,Casual
7836,Men,Shoes,Blue,Fall,Sports
13108,Men,Bottomwear,Blue,Fall,Sports
38671,Men,Shoes,Orange,Summer,Sports
17440,Men,Watches,Steel,Winter,Casual
9950,Men,Bottomwear,Black,Fall,Sports
45607,Men,Shoes,Black,Summer,Formal
33882,Men,Watches,Black,Winter,Casual
29696,Men,Topwear,Purple,Summer,Formal
51154,Men,Socks,Brown,Summer,Casual
8949,Men,Bottomwear,Grey,Fall,Formal
15972,Men,Topwear,Blue,Fall,Casual
34126,Men,Belts,Black,Summer,Formal
16390,Men,Bottomwear,Olive,Spring,Formal
4250,Men,Topwear,Green,Summer,Casual
17290,Men,Topwear,Grey,Fall,Casual
29244,Men,Shoes,White,Summer,Sports
35412,Men,Shoes,Black,Summer,Casual
37793,Men,Topwear,Blue,Summer,Formal
58312,Men,Socks,Grey,Summer,Sports
51681,Men,Eyewear,Grey,Winter,Casual
9249,Men,Topwear,Cream,Fall,Formal
10258,Men,Bottomwear,Navy Blue,Fall,Formal
59453,Men,Topwear,Purple,Fall,Casual
28040,Men,Innerwear,White,Summer,Casual
44068,Men,Fragrance,Grey,Spring,Casual
27768,Men,Wallets,Brown,Winter,Casual
27949,Men,Innerwear,Grey,Summer,Casual
32355,Men,Watches,Black,Winter,Casual
9690,Men,Topwear,Green,Fall,Casual
17868,Men,Innerwear,Navy Blue,Summer,Casual
4232,Men,Topwear,Green,Summer,Casual
51523,Men,Watches,Black,Winter,Casual
49742,Men,Ties,Copper,Summer,Formal
9426,Men,Topwear,Grey,Fall,Formal
36395,Men,Socks,Blue,Summer,Casual
29421,Men,Watches,Black,Winter,Casual
20076,Men,Fragrance,Silver,Spring,Casual
8390,Men,Topwear,Navy Blue,Fall,Sports
49668,Men,Eyewear,White,Winter,Casual
18841,Men,Belts,Tan,Fall,Formal
39957,Men,Flip Flops,Black,Fall,Casual
47502,Men,Innerwear,Navy Blue,Summer,Casual
24621,Men,Belts,Black,Summer,Formal
2104,Men,Topwear,Blue,Winter,Casual
43002,Men,Shoes,Grey,Summer,Sports
6379,Men,Shoes,Navy Blue,Summer,Casual
22837,Men,Shoes,Cream,Summer,Casual
29790,Men,Topwear,Blue,Summer,Casual
8777,Men,Topwear,Blue,Fall,Casual
26703,Men,Shoes,White,Fall,Sports
24050,Men,Topwear,Blue,Fall,Casual
9854,Men,Bottomwear,Black,Fall,Formal
9773,Men,Bottomwear,Blue,Fall,Casual
26544,Men,Sandal,Blue,Fall,Casual
6487,Men,Shoes,Black,Winter,Formal
42946,Men,Belts,Black,Summer,Casual
9542,Men,Topwear,Red,Summer,Sports
16514,Men,Bottomwear,Blue,Fall,Casual
16620,Men,Topwear,Red,Fall,Casual
51640,Men,Watches,Black,Winter,Casual
26284,Men,Topwear,Yellow,Summer,Casual
11058,Men,Topwear,Purple,Fall,Casual
32196,Men,Topwear,Blue,Summer,Ethnic
19365,Men,Shoes,Tan,Winter,Casual
